Body1,Body2,Body1_Mass,Body2_Mass,Distance,Body1_KineticEnergy,Body2_KineticEnergy,PotentialEnergy,TotalOrbitalEnergy,SimTime
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,5.644801e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.642000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,5.731310e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.643000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,5.818477e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.644000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,5.906302e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.645000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,5.994785e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.646000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,6.083925e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.647000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,6.173724e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.648000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,6.264180e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.649000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,6.355294e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.650000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,6.447066e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.651000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,6.539496e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.652000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,6.632584e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.653000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,6.726329e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.654000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,6.820733e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.655000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,6.915794e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.656000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,7.011513e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.657000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,7.107891e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.658000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,7.204925e+19,9.185004e+27,-7.619234e+28,-6.700734e+28,9.659000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,7.302618e+19,9.185005e+27,-7.619234e+28,-6.700734e+28,9.660000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,7.400969e+19,9.185005e+27,-7.619234e+28,-6.700734e+28,9.661000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,7.499977e+19,9.185005e+27,-7.619234e+28,-6.700734e+28,9.662000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,7.599644e+19,9.185005e+27,-7.619234e+28,-6.700734e+28,9.663000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,7.699968e+19,9.185005e+27,-7.619234e+28,-6.700734e+28,9.664000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,7.800950e+19,9.185005e+27,-7.619234e+28,-6.700734e+28,9.665000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,7.902590e+19,9.185005e+27,-7.619234e+28,-6.700734e+28,9.666000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,8.004888e+19,9.185005e+27,-7.619234e+28,-6.700734e+28,9.667000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,8.107844e+19,9.185005e+27,-7.619234e+28,-6.700734e+28,9.668000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,8.211457e+19,9.185005e+27,-7.619234e+28,-6.700734e+28,9.669000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,8.315729e+19,9.185005e+27,-7.619234e+28,-6.700734e+28,9.670000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,8.420658e+19,9.185005e+27,-7.619234e+28,-6.700734e+28,9.671000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,8.526245e+19,9.185005e+27,-7.619234e+28,-6.700734e+28,9.672000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,8.632490e+19,9.185005e+27,-7.619234e+28,-6.700734e+28,9.673000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,8.739393e+19,9.185005e+27,-7.619234e+28,-6.700734e+28,9.674000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,8.846954e+19,9.185005e+27,-7.619234e+28,-6.700734e+28,9.675000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,8.955173e+19,9.185006e+27,-7.619234e+28,-6.700734e+28,9.676000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,9.064049e+19,9.185006e+27,-7.619234e+28,-6.700734e+28,9.677000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,9.173583e+19,9.185006e+27,-7.619234e+28,-6.700734e+28,9.678000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,9.283776e+19,9.185006e+27,-7.619234e+28,-6.700734e+28,9.679000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,9.394626e+19,9.185006e+27,-7.619234e+28,-6.700734e+28,9.680000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,9.506134e+19,9.185006e+27,-7.619234e+28,-6.700734e+28,9.681000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,9.618299e+19,9.185006e+27,-7.619234e+28,-6.700734e+28,9.682000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,9.731123e+19,9.185006e+27,-7.619234e+28,-6.700734e+28,9.683000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,9.844605e+19,9.185006e+27,-7.619234e+28,-6.700734e+28,9.684000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,9.958744e+19,9.185006e+27,-7.619234e+28,-6.700734e+28,9.685000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.007354e+20,9.185006e+27,-7.619234e+28,-6.700734e+28,9.686000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.018900e+20,9.185006e+27,-7.619234e+28,-6.700734e+28,9.687000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.030511e+20,9.185006e+27,-7.619234e+28,-6.700734e+28,9.688000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.042188e+20,9.185006e+27,-7.619234e+28,-6.700734e+28,9.689000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.053931e+20,9.185007e+27,-7.619234e+28,-6.700734e+28,9.690000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.065740e+20,9.185007e+27,-7.619234e+28,-6.700734e+28,9.691000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.077614e+20,9.185007e+27,-7.619234e+28,-6.700734e+28,9.692000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.089554e+20,9.185007e+27,-7.619234e+28,-6.700734e+28,9.693000e+03
